X,Y,OBJECTID,ATT_ID,PROGRAM_CO,PARTNER_CO,AT_CODE,Status_INPIIRoadsProjects_Line,Name_INPIIRoadsProject_Line,ACTIVITY_D,ACTIVITY_C,LOCATION_C,USAID_CONT,START_DATE,PLANNED_CO,ACTUAL_COM,TOTAL_COST,PERCENT_CO,MALE_BENEF,FEMALE_BEN,MALE_BEN_1,FEMALE_B_1,DATE_TIME_,INPUTTING_,DATE_TIME1,LAST_MODIF,LOCATION_N,GOV_NAME,WBG_CODE,LAST_ON_SI,PLANNED__1,PARTNER_RE,PERMANENT_,PERMANENT1,SubPartner,RECIPIENT,SLOT,Low_FY,High_FY,Number_of_,Temporary_,Temporary1,Male_Ben_2,Female_B_2,Male_Ben_3,Female_B_3,Male_Ben_4,Female_B_4,Temporar_1,Temporar_2,Male_Ben_5,Female_B_5,Male_Ben_6,Female_B_6,Male_Ben_7,Female_B_7,Program__1,Program__2,Total_Co_1,Other_Cont,Location_L,Coordinate,Xcoord,Ycoord,Certifying,Last_Date_,SO_Code,SO_Name,Office,Office_Nam,AT_NAME,AT_SHORT_N,SUBSECTOR_,SUBSECTOR1,SECTOR_COD,SECTOR_NAM,PARTNER_NA,Program_Na,Program_Ty,Program_St,PE_Code,PE_Name,Activity_1,Activity_2,Region_Cod,Region_Nam,PA_Code,PA_Name,Objective_,Objective1,Objectiv_1,Number_of1,Recipient_,Recipient1,Recipien_1,Subpartn_1
,,,,,,,Awarded,Al Jalameh Crossing Improvements,ROAD - M&O,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Awarded,Anabta East Entrance Road,ROAD - M&O,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Awarded,Beit Sahur- Ubeidiya Road,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Awarded,Deir Al Ghsoun - Al Jarosheyah Road,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Awarded,Nablus - Asira Al Shimaliya Road,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3920283.404,3714026.199,18701,21806,INPII_APCO,BV-SPC,A051,Constructed,Al Menya Landfill Road,"Al Menya Landfill Road, Construction of a total of 3.6 km of the Al Menya Landfill Road. The road is a two lane road located in the Bethlehem Governorate that links the site of the Al Menya Landfill to the main road running towards Highway 60.","In addition to the below mentioned beneficiaries, Al Menya Road is used as an access road for Al Menya Landfill which benefit Bethlehem and Hebron Governorates.",CLU012,2752467,6/27/12,1/22/13,3/14/13,2806264,100,1477,1415,1477,1415,8/16/12,INPIIU2,3/7/16,Smassis,Any Partner -  Bethlehem,Bethlehem,WB,12/5/12,1/22/13,,0,0,TARIFI,,-1,FY12,FY13,2,206,4910,698,668,233,223,546,524,115,2727,698,668,233,223,546,524,NA,NA,2752467,0,Gov,GPS,35.216505,31.623777,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,1,,,,TARIFI Contracting
3925013.926,3728967.978,36807,23617,INPII_APCO,BV-SPC,A051,Constructed,Al Sawahira Al Sharqiya-Sheikh Sa'ed Road (Segment C),Al Sawahira Al Sharqiya-Sheikh Sae'ed Road (Segment C): Upgrade a total of 1.297 km (Segment C) of the Al Sawahira Al Sharqiya-Sheikh Saeed Road. The road is a two-lane local road that links the town of Al Sawahira Al Sharqiya with the community of Shei,,402145,1169211,4/15/13,12/22/13,12/23/13,887686,100,4459,4284,4459,4284,6/4/13,INPIIU2,3/7/16,Smassis,As Sawahira ash Sharqiya,Jerusalem,WB,1/14/14,10/11/13,TO 13-00004,0,0,Al Fakher,,-1,FY13,FY14,2,175,4155,2106,2024,704,676,1649,1584,200,4764,2106,2024,704,676,1649,1584,NA,NA,1169211,0,Village,GPS,35.259,31.738,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,5,,,,Al Fakher General Contracting Company
3907314.127,3708957.861,36810,23620,INPII_APCO,BV-SPC,A051,Constructed,Al Thirwa Schools Road and Roads Retaining Structures,Al Thirwa Schools Road and Roads Retaining Structures: Upgrade of a total of 1.665 km of Al Thirwa Schools Road. Al Thirwa Schools Road is located in the town of Halhoul. Road works is sited in Areas A and B.,,502630,1233776,4/15/13,11/1/13,10/31/13,1568858,100,13985,13436,13985,13436,6/4/13,INPIIU2,3/7/16,Smassis,Halhul,Hebron,WB,1/2/14,10/11/13,TO 13-00004,0,0,,,-1,FY13,FY14,2,207,4928,6607,6347,2207,2120,5172,4968,260,6198,6607,6347,2207,2120,5172,4968,NA,NA,1233776,0,Village,GPS,35.1,31.585,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,5,,,,
3932249.693,3813690.997,36813,23623,INPII_IRD,BV-SPC,A051,Constructed,Al Zababida-Raba-American University Road,Al Zababida Raba American University Road: Upgrade a total of 3.697 km of the AI Zababida-Raba-American University Road. The road is a two-lane local road that links the American University to the town of Al Zababida and surrounding areas in the Governor,,10435,3478141,4/9/13,1/29/14,1/29/14,3107568,100,4181,4025,4181,4025,6/4/13,INPIIU2,12/8/15,INP2IRD,Az Zababida,Jenin,WB,10/3/13,12/4/13,,0,0,Azzam,,-1,FY13,FY14,2,333,7930,1975,1901,660,635,1546,1489,144,3424,1975,1901,660,635,1546,1489,NA,NA,3478141,0,Village,GPS,35.324,32.383,amasri,5/28/14,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_IRD,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,4,,,,Al Azzam Co.
3925018.113,3738779.489,18702,21807,INPII_APCO,BV-SPC,A051,Constructed,Anata Main Entance Road & Internal Roads,Anata Main Road and Internal Roads; Construction of a total of 2.1 km of the Anata Main Entrance Road and 2.3 km of Internal Roads. The main road is a two-lane main road located in the Governorate of Jerusalem and connects the town of Anata to Jerusalem,,402040,3541730,6/27/12,2/21/13,3/14/13,2887933,100,7147,6991,7147,6991,8/16/12,INPIIU2,3/7/16,Smassis,'Anata,Jerusalem,WB,12/5/12,2/21/13,,0,0,Shaltaf,,-1,FY12,FY13,2,429,10202,3376,3302,1128,1103,2643,2586,162,3855,3376,3302,1128,1103,2643,2586,NA,NA,3541730,0,Village,GPS,35.25903761,31.81292797,Smassis,3/7/16,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INPII_APCO,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,10,,,,Shaltaf General Contractors Company
